Provincias;Ramas de actividad;periodo;Total
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);8.663.814
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;7.855.556
02 Albacete;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.475.070
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);37.279.735
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;33.979.911
03 Alicante/Alacant;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;37.366.493
04 Almería;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);15.659.622
04 Almería;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;14.607.070
04 Almería;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;15.813.933
01 Araba/Álava;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);12.939.983
01 Araba/Álava;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;11.731.451
01 Araba/Álava;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;12.813.401
33 Asturias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);23.549.659
33 Asturias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;21.319.148
33 Asturias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;23.711.269
05 Ávila;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);3.300.110
05 Ávila;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;3.076.404
05 Ávila;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;3.321.394
06 Badajoz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);12.723.211
06 Badajoz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;11.638.254
06 Badajoz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;12.490.571
07 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);30.031.668
07 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;26.198.090
07 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;33.935.302
08 Barcelona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);173.721.885
08 Barcelona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;160.180.344
08 Barcelona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;179.195.294
48 Bizkaia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);35.446.900
48 Bizkaia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;32.929.019
48 Bizkaia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;36.767.806
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);10.276.704
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;9.571.028
09 Burgos;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;10.596.493
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);7.926.526
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;7.201.986
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;7.988.357
11 Cádiz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);22.635.742
11 Cádiz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;20.253.717
11 Cádiz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;23.153.892
39 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);14.022.067
39 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;12.852.323
39 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;14.180.759
12 Castellón/Castelló;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);16.147.043
12 Castellón/Castelló;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;14.226.621
12 Castellón/Castelló;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;16.082.541
13 Ciudad Real;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);10.832.838
13 Ciudad Real;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;9.995.769
13 Ciudad Real;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;10.769.403
14 Córdoba;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);14.616.131
14 Córdoba;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;13.007.297
14 Córdoba;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;14.121.822
15 Coruña, A;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);27.347.965
15 Coruña, A;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;25.361.458
15 Coruña, A;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;27.718.066
16 Cuenca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);4.594.001
16 Cuenca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;4.195.214
16 Cuenca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;4.515.520
20 Gipuzkoa;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);23.839.000
20 Gipuzkoa;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;21.835.162
20 Gipuzkoa;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;24.493.773
17 Girona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);21.355.174
17 Girona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;19.520.752
17 Girona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;21.828.320
18 Granada;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);17.140.505
18 Granada;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;15.802.260
18 Granada;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;17.383.998
19 Guadalajara;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);5.502.747
19 Guadalajara;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;5.047.876
19 Guadalajara;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;5.465.337
21 Huelva;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);10.763.135
21 Huelva;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;9.243.502
21 Huelva;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;10.544.112
22 Huesca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);6.802.388
22 Huesca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;6.277.103
22 Huesca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;6.499.251
23 Jaén;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);11.754.569
23 Jaén;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;10.675.734
23 Jaén;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;11.170.612
24 León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);10.224.642
24 León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;9.304.383
24 León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;10.093.250
25 Lleida;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);12.558.913
25 Lleida;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;11.521.909
25 Lleida;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;12.641.158
27 Lugo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);7.395.362
27 Lugo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;6.891.215
27 Lugo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;7.763.915
28 Madrid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);237.540.292
28 Madrid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;219.030.504
28 Madrid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;242.093.235
29 Málaga;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);30.776.021
29 Málaga;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;28.160.097
29 Málaga;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;32.202.624
30 Murcia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);32.719.230
30 Murcia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;29.775.480
30 Murcia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;32.319.250
31 Navarra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);20.518.471
31 Navarra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;18.937.439
31 Navarra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;20.873.397
32 Ourense;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);7.104.228
32 Ourense;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;6.384.529
32 Ourense;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;7.100.820
34 Palencia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);4.303.764
34 Palencia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;4.029.182
34 Palencia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;4.410.268
35 Palmas, Las;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);22.056.871
35 Palmas, Las;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;19.692.679
35 Palmas, Las;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;24.214.216
36 Pontevedra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);21.988.329
36 Pontevedra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;20.025.926
36 Pontevedra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;21.637.314
26 Rioja, La;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);8.619.779
26 Rioja, La;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;8.105.603
26 Rioja, La;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;8.822.400
37 Salamanca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);7.289.859
37 Salamanca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;6.622.699
37 Salamanca;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;7.202.099
38 Santa Cruz de Tenerife;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);20.786.249
38 Santa Cruz de Tenerife;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;18.937.445
38 Santa Cruz de Tenerife;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;22.968.344
40 Segovia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);3.460.982
40 Segovia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;3.179.622
40 Segovia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;3.500.825
41 Sevilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);40.657.710
41 Sevilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;37.029.412
41 Sevilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;40.538.496
42 Soria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);2.531.565
42 Soria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;2.285.159
42 Soria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;2.524.615
43 Tarragona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);24.421.364
43 Tarragona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;21.388.438
43 Tarragona;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;24.643.977
44 Teruel;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);3.460.089
44 Teruel;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;3.098.690
44 Teruel;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;3.394.776
45 Toledo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);13.258.842
45 Toledo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;12.252.188
45 Toledo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;13.173.524
46 Valencia/València;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);61.410.589
46 Valencia/València;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;56.547.166
46 Valencia/València;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;62.157.518
47 Valladolid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);14.293.892
47 Valladolid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;13.541.411
47 Valladolid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;14.635.137
49 Zamora;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);3.582.273
49 Zamora;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;3.226.677
49 Zamora;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;3.514.472
50 Zaragoza;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);27.896.994
50 Zaragoza;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;26.145.786
50 Zaragoza;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;28.155.594
51 Ceuta;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);1.765.159
51 Ceuta;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;1.655.168
51 Ceuta;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;1.774.927
52 Melilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);1.616.543
52 Melilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;1.514.009
52 Melilla;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;1.625.086
